"","spotify_id","name","followers","genres"
"46","0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne",9097882,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
"47","4gOc8TsQed9eqnqJct2c5v","K/DA",1616999,"['k-pop girl group']"
"48","2gBjLmx6zQnFGQJCAQpRgw","Nelly",2229377,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'southern hip hop', 'st louis rap', 'urban contemporary']"
"49","3EW0kQ1skZiK1NHg3Spt9J","Takeoff",1261393,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
"50","3EY5DxGdy7x4GelivOjS2Q","Connie Francis",357577,"['adult standards', 'brill building pop', 'lounge', 'rock-and-roll', 'rockabilly']"
"51","3eVa5w3URK5duf6eyVDbu9","ROSÉ",3244912,"['k-pop']"
"52","01QTIT5P1pFP3QnnFSdsJf","Lupe Fiasco",1782190,"['chicago rap', 'conscious hip hop', 'hip hop', 'political hip hop', 'pop rap', 'rap', 'southern hip hop']"
"53","1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas",6881366,"['dance pop', 'pop', 'pop rap']"
"54","2XzXLjXRSeFtsic4ieyLJy","Wilbur Soot",1604832,"['dream smp', 'indie pop']"
"55","4VMYDCV2IEDYJArk749S6m","Daddy Yankee",29446452,"['latin hip hop', 'reggaeton', 'trap latino']"
"56","3oDbviiivRWhXwIE8hxkVV","The Beach Boys",3805849,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']"
"57","0ErzCpIMyLcjPiwT4elrtZ","NLE Choppa",5066308,"['memphis hip hop']"
"58","2zJ8chFLjiBHRNchfevMRI","SNBRN",100622,"['bass house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']"
"59","5lKZWd6HiSCLfnDGrq9RAm","Leona Lewis",3381275,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']"
"60","3lPQ2Fk5JOwGWAF3ORFCqH","John Mellencamp",1393034,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']"
"61","3ScY9CQxNLQei8Umvpx5g6","Fat Joe",1408217,"['bronx hip hop', 'dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
"62","6g8AmloI8egfrr3dm3SnUL","TWENTY88",472154,"['pop r&b', 'r&b']"
"63","7dWYWUbO68rXJOcyA7SpJk","Fort Minor",555574,"['pop rap', 'rap rock']"
"64","7qG3b048QCHVRO5Pv1T5lw","Enrique Iglesias",10899955,"['latin pop', 'mexican pop']"
"65","6QrQ7OrISRYIfS5mtacaw2","Jaymes Young",818554,"['modern rock', 'pop', 'uk pop']"
"66","1KP6TWI40m7p3QBTU6u2xo","BØRNS",1093578,"['modern rock', 'pop']"
"67","4Rxn7Im3LGfyRkY2FlHhWi","Nick Jonas",8312684,"['dance pop', 'pop', 'post-teen pop', 'uk pop']"
"68","7lDVEkjIURPMyUYwoQRrpw","Ryan Hurd",201785,"['contemporary country', 'country', 'country pop', 'country road']"
"69","0WK3H9OErSn5zKOkOV5egm","DDG",793852,"['pop rap', 'rap', 'trap', 'viral rap']"
"70","1gPhS1zisyXr5dHTYZyiMe","Kevin Gates",5326006,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"71","1ShZZUjkbXCjhwrb18BA8I","Bryce Vine",464953,"['electropop', 'pop', 'pop rap']"
"72","2LZDXcxJWgsJfKXZv9a5eG","Cashmere Cat",318482,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']"
"73","04gDigrS5kc9YWfZHwBETP","Maroon 5",37808723,"['pop']"
"74","4npEfmQ6YuiwW1GpUmaq3F","Ava Max",5630195,"['dance pop', 'pop']"
"75","10exVja0key0uqUkk6LJRT","Vance Joy",2665962,"['folk-pop', 'pop']"
"76","188VINPQh5dyNfLUkevKqf","Olivia Holt",1043423,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']"
"77","0GM7qgcRCORpGnfcN2tCiB","Tainy",1021679,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
"78","31TPClRtHm23RisEBtV3X7","Justin Timberlake",12170249,"['dance pop', 'pop']"
"79","3Yl4nkmEa8BSuGWbwhdLDq","G.R.L.",351215,"['dance pop', 'girl group', 'post-teen pop']"
