"ego_spotify_id","alter_spotify_id", "alter_name", "alter_followers"
5Matrg5du62bXwer29cU5T,65Sw3vav6M86SkzlQUUVFe,Dwayne Collins,71.0
5Matrg5du62bXwer29cU5T,67gqUXxHedeUGDTxwBzdjS,Conway the Machine,211923.0
15tTVhFpH8EFXeDgO9xkRO,1xqp3Zckdqk2RVqf9NpMXA,Alex Maxwell,696.0
15tTVhFpH8EFXeDgO9xkRO,5p7Ph7LBiVb8cUCCSGq5aF,Hayden Coffman,14688.0
15tTVhFpH8EFXeDgO9xkRO,4YTk2H7LWeoCgdoQ5umieQ,Rvshvd,45145.0
4N874uPqBka1QiCvnCVOtr,4NHQUGzhtTLFvgF5SZesLK,Tove Lo,3088737.0
4N874uPqBka1QiCvnCVOtr,6KZDXtSj0SzGOV705nNeh3,Kid Ink,2879810.0
4N874uPqBka1QiCvnCVOtr,6QrQ7OrISRYIfS5mtacaw2,Jaymes Young,818554.0
4N874uPqBka1QiCvnCVOtr,5p0zkKpBuRguKebwRe0RI2,Pierce Fulton,46893.0
4N874uPqBka1QiCvnCVOtr,7zDSYCgSGUDOaKiXUiZkpi,Phangs,12344.0
4N874uPqBka1QiCvnCVOtr,6TQj5BFPooTa08A7pk8AQ1,Kaskade,894817.0
4N874uPqBka1QiCvnCVOtr,5jAMCwdNHWr7JThxtMuEyy,NOTD,243925.0
4N874uPqBka1QiCvnCVOtr,5iC1YlbqPoxvznwdtGJ9gt,DJ Mike D,14.0
4N874uPqBka1QiCvnCVOtr,4ZUg3IUvAPAl8coXQAxaXd,Lucas Nord,9469.0
4N874uPqBka1QiCvnCVOtr,521qvhdobR0GzhvU6TFw76,Tritonal,220430.0
4N874uPqBka1QiCvnCVOtr,5AWxcrt1uZZUrNG2UwhU9a,Shew,57.0
4N874uPqBka1QiCvnCVOtr,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19441428.0
2l35CQqtYRh3d8ZIiBep4v,6KYDEQGMMUEQOb4ACAJTxH,The Suicide Doors,135.0
2l35CQqtYRh3d8ZIiBep4v,44drVL4jbdo6T6llD5cMgx,McClenney,53162.0
2l35CQqtYRh3d8ZIiBep4v,6fuXXoiyF1WiVIXKKCAZtt,Mysto & Pizzi,1282.0
2l35CQqtYRh3d8ZIiBep4v,2p4FqHnazRucYQHyDCdBrJ,Simple Plan,3212872.0
2l35CQqtYRh3d8ZIiBep4v,33JQK4UoS2aMPYBfdB5Ftt,Ryan Riback,13410.0
23fqKkggKUBHNkbKtXEls4,6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4503839.0
23fqKkggKUBHNkbKtXEls4,48sLioddyaXkuhyHXSkpsB,Parson James,56219.0
23fqKkggKUBHNkbKtXEls4,70TsVY28EcEUYSGG5Yw7mp,Sam Tinnesz,155597.0
23fqKkggKUBHNkbKtXEls4,4sTQVOfp9vEMCemLw50sbu,Galantis,3263932.0
23fqKkggKUBHNkbKtXEls4,5CCwRZC6euC8Odo6y9X8jr,Rita Ora,7592797.0
23fqKkggKUBHNkbKtXEls4,6TQj5BFPooTa08A7pk8AQ1,Kaskade,894817.0
23fqKkggKUBHNkbKtXEls4,7kNqXtgeIwFtelmRjWv205,John Summit,89617.0
23fqKkggKUBHNkbKtXEls4,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,38371125.0
23fqKkggKUBHNkbKtXEls4,78Rk1F0jGdipWWfrhyWwt3,Patrick Droney,64943.0
23fqKkggKUBHNkbKtXEls4,3koiLjNrgRTNbOwViDipeA,Marvin Gaye,4690908.0
23fqKkggKUBHNkbKtXEls4,6oSTtYd3B3OJubFU8mVhHQ,JHart,3726.0
23fqKkggKUBHNkbKtXEls4,3QSQFmccmX81fWCUSPTS7y,Dean Lewis,2168489.0
23fqKkggKUBHNkbKtXEls4,5v8ZROs9c26k4yGMxUkebt,Jack Wins,36784.0
23fqKkggKUBHNkbKtXEls4,7vkBnXHIvNilYcrqt9RJLD,Bergen Philharmonic Orchestra,4800.0
23fqKkggKUBHNkbKtXEls4,7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,1431443.0
23fqKkggKUBHNkbKtXEls4,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,14155283.0
23fqKkggKUBHNkbKtXEls4,79QO0Xmn1dZhvaLicS2Yrs,The Night Game,37079.0
23fqKkggKUBHNkbKtXEls4,3NPpFNZtSTHheNBaWC82rB,X Ambassadors,2699507.0
23fqKkggKUBHNkbKtXEls4,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1174594.0
23fqKkggKUBHNkbKtXEls4,6i1GVNJCyyssRwXmnaeEFH,Syn Cole,216513.0
23fqKkggKUBHNkbKtXEls4,5JSXWmQO8csVUy6hSRu8TA,Maty Noyes,260017.0
23fqKkggKUBHNkbKtXEls4,6eVWXmKBW7Iltub01D9R1c,Valerie Broussard,58105.0
23fqKkggKUBHNkbKtXEls4,3i94wxAKQqlJyiPLDmjNdH,St. Lundi,16657.0
23fqKkggKUBHNkbKtXEls4,30B2OY2t19A6zCXGFUNlGB,Petey Martin,4401.0
23fqKkggKUBHNkbKtXEls4,6KcmUwBzfwLaYxdfIboqcp,Kyla La Grange,47252.0
23fqKkggKUBHNkbKtXEls4,5cIc3SBFuBLVxJz58W2tU9,Oh Wonder,1031259.0
23fqKkggKUBHNkbKtXEls4,5LHRHt1k9lMyONurDHEdrp,Tyga,6638519.0
23fqKkggKUBHNkbKtXEls4,7FDlvgcodNfC0IBdWevl4u,James Vincent McMorrow,579699.0
23fqKkggKUBHNkbKtXEls4,4X0v8sFoDZ6rIfkeOeVm2i,Seinabo Sey,168061.0
23fqKkggKUBHNkbKtXEls4,7D5oTJSXSHf51auG0106CQ,Benjamin Francis Leftwich,317534.0
23fqKkggKUBHNkbKtXEls4,5y2Xq6xcjJb2jVM54GHK3t,John Legend,6260357.0
23fqKkggKUBHNkbKtXEls4,5ChF3i92IPZHduM7jN3dpg,Nicky Romero,2192896.0
23fqKkggKUBHNkbKtXEls4,37U4NsaBXvBlPKZFbntTYD,Tariq Pijning,409.0
23fqKkggKUBHNkbKtXEls4,4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,1183156.0
23fqKkggKUBHNkbKtXEls4,6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2389551.0
23fqKkggKUBHNkbKtXEls4,5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,600337.0
23fqKkggKUBHNkbKtXEls4,2feDdbD5araYcm6JhFHHw7,Labrinth,2498510.0
23fqKkggKUBHNkbKtXEls4,7dtJROxWQe3fxxF5t7o67N,Bonnie McKee,62655.0
23fqKkggKUBHNkbKtXEls4,2eogQKWWoohI3BSnoG7E2U,Donna Summer,1596843.0
23fqKkggKUBHNkbKtXEls4,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,2371386.0
23fqKkggKUBHNkbKtXEls4,4CA8PTrbq1l5IgyvBA2JSV,Paul Woolford,41925.0
23fqKkggKUBHNkbKtXEls4,39AZSw4A8hCFWunEg2k89Z,Will Heard,30835.0
23fqKkggKUBHNkbKtXEls4,2vRK8tYkzMBcd6YD67EA77,Didrik Thulin,1868.0
23fqKkggKUBHNkbKtXEls4,5R3Hr2cnCCjt220Jmt2xLf,Dillon Francis,1102116.0
23fqKkggKUBHNkbKtXEls4,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,35053203.0
23fqKkggKUBHNkbKtXEls4,3iN9k8uvm4WrgdlOigOH8D,Hook N Sling,27924.0
23fqKkggKUBHNkbKtXEls4,4QAp87iZerUP9PKxtLhmW1,Oliver Nelson,29304.0
23fqKkggKUBHNkbKtXEls4,7r2uG6BlFXKcwmh9ItqlII,Wrabel,220240.0
23fqKkggKUBHNkbKtXEls4,4T2k9bgIoC8bbqjqiEl9vZ,Rhys Lewis,334696.0
23fqKkggKUBHNkbKtXEls4,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,8362283.0
23fqKkggKUBHNkbKtXEls4,3wRQD6UZWlaWEnbgpIEPPX,Cazztek,29446.0
23fqKkggKUBHNkbKtXEls4,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,6497410.0
23fqKkggKUBHNkbKtXEls4,6wlk4iqaEgEvADMVG6QMd8,James Gillespie,71579.0
23fqKkggKUBHNkbKtXEls4,3XBxSfCwYIMBzWmJL7ZJ4U,Jason Walker,97566.0
23fqKkggKUBHNkbKtXEls4,6T5tfhQCknKG4UnH90qGnz,DNCE,4266483.0
23fqKkggKUBHNkbKtXEls4,6Gk5hoM7eW8NSCYhICMDHw,Zak Abel,143516.0
23fqKkggKUBHNkbKtXEls4,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19441428.0
23fqKkggKUBHNkbKtXEls4,51Blml2LZPmy7TTiAg47vQ,U2,10185420.0
23fqKkggKUBHNkbKtXEls4,34v5MVKeQnIo0CWYMbbrPf,John Newman,679951.0
23fqKkggKUBHNkbKtXEls4,7qRll6DYV06u2VuRPAVqug,Foxes,298785.0
23fqKkggKUBHNkbKtXEls4,4LKB1IkCINDDjEX8iS7glI,Young Bombs,18990.0
23fqKkggKUBHNkbKtXEls4,2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,846987.0
23fqKkggKUBHNkbKtXEls4,2jzc5TC5TVFLXQlBNiIUzE,a-ha,1827241.0
23fqKkggKUBHNkbKtXEls4,5JYo7gm2dkyLLlWHjxS7Dy,Sandro Cavazza,91478.0
23fqKkggKUBHNkbKtXEls4,4BxCuXFJrSWGi1KHcVqaU4,Kodaline,2667479.0
23fqKkggKUBHNkbKtXEls4,5gw5ANPCVcxU0maLiGRzzP,Billy Raffoul,110025.0
23fqKkggKUBHNkbKtXEls4,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,41751320.0
23fqKkggKUBHNkbKtXEls4,6rcE30MaP92XafelMNZ2Sq,Frank Walker,77387.0
23fqKkggKUBHNkbKtXEls4,5WdqBAQhGFCrZvBKXiPIu7,The Him,107823.0
23fqKkggKUBHNkbKtXEls4,7CIW23FQUXPc1zebnO1TDG,Matt Corby,468687.0
23fqKkggKUBHNkbKtXEls4,25tMQOrIU4LlUo6Sv8v5SE,Gavin James,669083.0
23fqKkggKUBHNkbKtXEls4,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,796617.0
23fqKkggKUBHNkbKtXEls4,3f8ujTspJT6Voq6HYEv3i2,Lars Vaular,53043.0
23fqKkggKUBHNkbKtXEls4,360IAlyVv4PCEVjgyMZrxK,Miguel,4195623.0
23fqKkggKUBHNkbKtXEls4,33JQK4UoS2aMPYBfdB5Ftt,Ryan Riback,13410.0
23fqKkggKUBHNkbKtXEls4,2FsZnS8gQ8jG1HGnPYNlm9,Jamie N Commons,80328.0
23fqKkggKUBHNkbKtXEls4,6tKJaNOY6oNVWcegnMMEtt,Zac Brown,19536.0
1WgXqy2Dd70QQOU7Ay074N,28uJnu5EsrGml2tBd7y8ts,Vintage Culture,1668382.0
1WgXqy2Dd70QQOU7Ay074N,1qpR5mURxk3d8f6mww6uKT,Shura,224973.0
1WgXqy2Dd70QQOU7Ay074N,7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,1332728.0
1WgXqy2Dd70QQOU7Ay074N,7nc2JTIfR3eZwXeq3pbwt2,B.Traits,7618.0
1WgXqy2Dd70QQOU7Ay074N,4huNtMLF5FVeov9mFg6qWn,Sia Koskina,332.0
1WgXqy2Dd70QQOU7Ay074N,6e3pZKXUxrPfnUPJ960Hd9,Pomme,477584.0
1WgXqy2Dd70QQOU7Ay074N,2fC3X6tyQk1zYIDjwSYxE6,Benjamin Mørk,988.0
1WgXqy2Dd70QQOU7Ay074N,1yqxFtPHKcGcv6SXZNdyT9,MK,251492.0
1WgXqy2Dd70QQOU7Ay074N,3EK3opK9Hp93HJjBPupzfg,KDA,16262.0
1WgXqy2Dd70QQOU7Ay074N,4uEXjt8OUmrogGqeAfDNPZ,PWNDTIAC,608.0
1WgXqy2Dd70QQOU7Ay074N,3FLUBwpAnaIlIKeaBfsxFe,Kito,28981.0
1WgXqy2Dd70QQOU7Ay074N,2OIJq28O1lXrZ2x3NGSk8P,Pablo Nouvelle,36693.0
1WgXqy2Dd70QQOU7Ay074N,5ct8AlcDgWMp4O25vbcjpC,Assassin's Creed,5737.0
1WgXqy2Dd70QQOU7Ay074N,4hbnUamwrCHpv4wQTwvCIc,Sondr,11947.0
