"ego_spotify_id","alter_spotify_id"
2l35CQqtYRh3d8ZIiBep4v,6KYDEQGMMUEQOb4ACAJTxH
2l35CQqtYRh3d8ZIiBep4v,44drVL4jbdo6T6llD5cMgx
2l35CQqtYRh3d8ZIiBep4v,6fuXXoiyF1WiVIXKKCAZtt
2l35CQqtYRh3d8ZIiBep4v,2p4FqHnazRucYQHyDCdBrJ
2l35CQqtYRh3d8ZIiBep4v,33JQK4UoS2aMPYBfdB5Ftt
23fqKkggKUBHNkbKtXEls4,6ydoSd3N2mwgwBHtF6K7eX
23fqKkggKUBHNkbKtXEls4,48sLioddyaXkuhyHXSkpsB
23fqKkggKUBHNkbKtXEls4,70TsVY28EcEUYSGG5Yw7mp
23fqKkggKUBHNkbKtXEls4,4sTQVOfp9vEMCemLw50sbu
23fqKkggKUBHNkbKtXEls4,5CCwRZC6euC8Odo6y9X8jr
23fqKkggKUBHNkbKtXEls4,6TQj5BFPooTa08A7pk8AQ1
23fqKkggKUBHNkbKtXEls4,7kNqXtgeIwFtelmRjWv205
23fqKkggKUBHNkbKtXEls4,4gzpq5DPGxSnKTe4SA8HAU
23fqKkggKUBHNkbKtXEls4,78Rk1F0jGdipWWfrhyWwt3
23fqKkggKUBHNkbKtXEls4,3koiLjNrgRTNbOwViDipeA
23fqKkggKUBHNkbKtXEls4,6oSTtYd3B3OJubFU8mVhHQ
23fqKkggKUBHNkbKtXEls4,3QSQFmccmX81fWCUSPTS7y
23fqKkggKUBHNkbKtXEls4,5v8ZROs9c26k4yGMxUkebt
23fqKkggKUBHNkbKtXEls4,7vkBnXHIvNilYcrqt9RJLD
23fqKkggKUBHNkbKtXEls4,7nDsS0l5ZAzMedVRKPP8F1
23fqKkggKUBHNkbKtXEls4,5Pwc4xIPtQLFEnJriah9YJ
23fqKkggKUBHNkbKtXEls4,79QO0Xmn1dZhvaLicS2Yrs
23fqKkggKUBHNkbKtXEls4,3NPpFNZtSTHheNBaWC82rB
23fqKkggKUBHNkbKtXEls4,4xnihxcoXWK3UqryOSnbw5
23fqKkggKUBHNkbKtXEls4,6i1GVNJCyyssRwXmnaeEFH
23fqKkggKUBHNkbKtXEls4,5JSXWmQO8csVUy6hSRu8TA
23fqKkggKUBHNkbKtXEls4,6eVWXmKBW7Iltub01D9R1c
23fqKkggKUBHNkbKtXEls4,3i94wxAKQqlJyiPLDmjNdH
23fqKkggKUBHNkbKtXEls4,30B2OY2t19A6zCXGFUNlGB
23fqKkggKUBHNkbKtXEls4,6KcmUwBzfwLaYxdfIboqcp
23fqKkggKUBHNkbKtXEls4,5cIc3SBFuBLVxJz58W2tU9
23fqKkggKUBHNkbKtXEls4,5LHRHt1k9lMyONurDHEdrp
23fqKkggKUBHNkbKtXEls4,7FDlvgcodNfC0IBdWevl4u
23fqKkggKUBHNkbKtXEls4,4X0v8sFoDZ6rIfkeOeVm2i
23fqKkggKUBHNkbKtXEls4,7D5oTJSXSHf51auG0106CQ
23fqKkggKUBHNkbKtXEls4,5y2Xq6xcjJb2jVM54GHK3t
23fqKkggKUBHNkbKtXEls4,5ChF3i92IPZHduM7jN3dpg
23fqKkggKUBHNkbKtXEls4,37U4NsaBXvBlPKZFbntTYD
23fqKkggKUBHNkbKtXEls4,4tvKz56Tr39bkhcQUTO0Xr
23fqKkggKUBHNkbKtXEls4,6cEuCEZu7PAE9ZSzLLc2oQ
23fqKkggKUBHNkbKtXEls4,5JMLG56F1X5mFmWNmS0iAp
23fqKkggKUBHNkbKtXEls4,2feDdbD5araYcm6JhFHHw7
23fqKkggKUBHNkbKtXEls4,7dtJROxWQe3fxxF5t7o67N
23fqKkggKUBHNkbKtXEls4,2eogQKWWoohI3BSnoG7E2U
23fqKkggKUBHNkbKtXEls4,2txHhyCwHjUEpJjWrEyqyX
23fqKkggKUBHNkbKtXEls4,4CA8PTrbq1l5IgyvBA2JSV
23fqKkggKUBHNkbKtXEls4,39AZSw4A8hCFWunEg2k89Z
23fqKkggKUBHNkbKtXEls4,2vRK8tYkzMBcd6YD67EA77
23fqKkggKUBHNkbKtXEls4,5R3Hr2cnCCjt220Jmt2xLf
23fqKkggKUBHNkbKtXEls4,7vk5e3vY1uw9plTHJAMwjN
23fqKkggKUBHNkbKtXEls4,3iN9k8uvm4WrgdlOigOH8D
23fqKkggKUBHNkbKtXEls4,4QAp87iZerUP9PKxtLhmW1
23fqKkggKUBHNkbKtXEls4,7r2uG6BlFXKcwmh9ItqlII
23fqKkggKUBHNkbKtXEls4,4T2k9bgIoC8bbqjqiEl9vZ
23fqKkggKUBHNkbKtXEls4,6XpaIBNiVzIetEPCWDvAFP
23fqKkggKUBHNkbKtXEls4,3wRQD6UZWlaWEnbgpIEPPX
23fqKkggKUBHNkbKtXEls4,2o5jDhtHVPhrJdv3cEQ99Z
23fqKkggKUBHNkbKtXEls4,6wlk4iqaEgEvADMVG6QMd8
23fqKkggKUBHNkbKtXEls4,3XBxSfCwYIMBzWmJL7ZJ4U
23fqKkggKUBHNkbKtXEls4,6T5tfhQCknKG4UnH90qGnz
23fqKkggKUBHNkbKtXEls4,6Gk5hoM7eW8NSCYhICMDHw
23fqKkggKUBHNkbKtXEls4,69GGBxA162lTqCwzJG5jLp
23fqKkggKUBHNkbKtXEls4,51Blml2LZPmy7TTiAg47vQ
23fqKkggKUBHNkbKtXEls4,34v5MVKeQnIo0CWYMbbrPf
23fqKkggKUBHNkbKtXEls4,7qRll6DYV06u2VuRPAVqug
23fqKkggKUBHNkbKtXEls4,4LKB1IkCINDDjEX8iS7glI
23fqKkggKUBHNkbKtXEls4,2ZRQcIgzPCVaT9XKhXZIzh
23fqKkggKUBHNkbKtXEls4,2jzc5TC5TVFLXQlBNiIUzE
23fqKkggKUBHNkbKtXEls4,5JYo7gm2dkyLLlWHjxS7Dy
23fqKkggKUBHNkbKtXEls4,4BxCuXFJrSWGi1KHcVqaU4
23fqKkggKUBHNkbKtXEls4,5gw5ANPCVcxU0maLiGRzzP
23fqKkggKUBHNkbKtXEls4,53XhwfbYqKCa1cC15pYq2q
23fqKkggKUBHNkbKtXEls4,6rcE30MaP92XafelMNZ2Sq
23fqKkggKUBHNkbKtXEls4,5WdqBAQhGFCrZvBKXiPIu7
23fqKkggKUBHNkbKtXEls4,7CIW23FQUXPc1zebnO1TDG
23fqKkggKUBHNkbKtXEls4,25tMQOrIU4LlUo6Sv8v5SE
23fqKkggKUBHNkbKtXEls4,3Xt3RrJMFv5SZkCfUE8C1J
23fqKkggKUBHNkbKtXEls4,3f8ujTspJT6Voq6HYEv3i2
23fqKkggKUBHNkbKtXEls4,360IAlyVv4PCEVjgyMZrxK
23fqKkggKUBHNkbKtXEls4,33JQK4UoS2aMPYBfdB5Ftt
23fqKkggKUBHNkbKtXEls4,2FsZnS8gQ8jG1HGnPYNlm9
23fqKkggKUBHNkbKtXEls4,6tKJaNOY6oNVWcegnMMEtt
1WgXqy2Dd70QQOU7Ay074N,28uJnu5EsrGml2tBd7y8ts
1WgXqy2Dd70QQOU7Ay074N,1qpR5mURxk3d8f6mww6uKT
1WgXqy2Dd70QQOU7Ay074N,7gXb99Sf9nNmpNYeAgIQFG
1WgXqy2Dd70QQOU7Ay074N,7nc2JTIfR3eZwXeq3pbwt2
1WgXqy2Dd70QQOU7Ay074N,4huNtMLF5FVeov9mFg6qWn
1WgXqy2Dd70QQOU7Ay074N,6e3pZKXUxrPfnUPJ960Hd9
1WgXqy2Dd70QQOU7Ay074N,2fC3X6tyQk1zYIDjwSYxE6
1WgXqy2Dd70QQOU7Ay074N,1yqxFtPHKcGcv6SXZNdyT9
1WgXqy2Dd70QQOU7Ay074N,3EK3opK9Hp93HJjBPupzfg
1WgXqy2Dd70QQOU7Ay074N,4uEXjt8OUmrogGqeAfDNPZ
1WgXqy2Dd70QQOU7Ay074N,3FLUBwpAnaIlIKeaBfsxFe
1WgXqy2Dd70QQOU7Ay074N,2OIJq28O1lXrZ2x3NGSk8P
1WgXqy2Dd70QQOU7Ay074N,5ct8AlcDgWMp4O25vbcjpC
1WgXqy2Dd70QQOU7Ay074N,4hbnUamwrCHpv4wQTwvCIc
1WgXqy2Dd70QQOU7Ay074N,3NABmtfO8G8s96WFGhbR7F
1WgXqy2Dd70QQOU7Ay074N,59uotkhxqGCa7EpPXfRYpf
1WgXqy2Dd70QQOU7Ay074N,5a5vu4RzsAHdKN0aYyblZ8
1WgXqy2Dd70QQOU7Ay074N,5jOiYJPp5e84cnK2KO1aNz
1WgXqy2Dd70QQOU7Ay074N,4tc9NREea7ncB7JzqdBsj5
1WgXqy2Dd70QQOU7Ay074N,6zLutmgjmoKvrsH5hyqNz1
1WgXqy2Dd70QQOU7Ay074N,4mncDFjVLUa3s025Tct3Ry
4YXycRbyyAE0wozTk7QMEq,5Nm4sZeWDNd1sOs5HcxAbl
4YXycRbyyAE0wozTk7QMEq,55fhWPvDiMpLnE4ZzNXZyW
4YXycRbyyAE0wozTk7QMEq,6c4sUNBgdonFJz8Kx2VsGz
4YXycRbyyAE0wozTk7QMEq,5pK858DFAWCmE2tM4jZxYC
4YXycRbyyAE0wozTk7QMEq,7kHe4uFK1KQFqMRP7td4mS
4YXycRbyyAE0wozTk7QMEq,6tCJN1fQNdFCEaOa8Da9Wf
4YXycRbyyAE0wozTk7QMEq,62DmErcU7dqZbJaDqwsqzR
4YXycRbyyAE0wozTk7QMEq,5YyGLejM00snCF1RJKlocJ
4YXycRbyyAE0wozTk7QMEq,7jZMxhsB8djyIbYmoiJSTs
4YXycRbyyAE0wozTk7QMEq,4biyz3JBhm6L5AqQL6zZyn
4YXycRbyyAE0wozTk7QMEq,5KsRA81UaMVKvLNiwDySfp
4YXycRbyyAE0wozTk7QMEq,5rRcnWrevHgbuWjl7Lhft7
